"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Backdoored Retrievers for Prompt Injection Attacks on Retrieval
  Augmented Generation of Large Language Models","https://scispace.com/paper/backdoored-retrievers-for-prompt-injection-attacks-on-6rmikswq97xc","2024","Journal Article","","Cody Clop
Yannick Teglia","10.48550/arxiv.2410.14479","https://scispace.compdf/backdoored-retrievers-for-prompt-injection-attacks-on-6rmikswq97xc.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses backdoored retrievers to inject malicious vectors, demonstrating attacks on RAG pipelines with real vector stores; lacks dedicated defenses and focuses less on autonomous agents or extensive size scaling.","Large Language Models (LLMs) have demonstrated remarkable capabilities in generating coherent text but remain limited by the static nature of their training data. Retrieval Augmented Generation (RAG) addresses this issue by combining LLMs with up-to-date information retrieval, but also expand the attack surface of the system. This paper investigates prompt injection attacks on RAG, focusing on malicious objectives beyond misinformation, such as inserting harmful links, promoting unauthorized services, and initiating denial-of-service behaviors. We build upon existing corpus poisoning techniques and propose a novel backdoor attack aimed at the fine-tuning process of the dense retriever component. Our experiments reveal that corpus poisoning can achieve significant attack success rates through the injection of a small number of compromised documents into the retriever corpus. In contrast, backdoor attacks demonstrate even higher success rates but necessitate a more complex setup, as the victim must fine-tune the retriever using the attacker poisoned dataset. "
"RAGPart &amp; RAGMask: Retrieval-Stage Defenses Against Corpus Poisoning in Retrieval-Augmented Generation","https://scispace.com/paper/ragpart-ragmask-retrieval-stage-defenses-against-corpus-galfqojb6dbf","2025","Journal Article","","Pankayaraj Pathmanathan
Michael-Andrei Panaitescu-Liess
Cho-Yu Jason Chiang
Furong Huang","10.48550/arxiv.2512.24268","","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Proposes RAGStage defenses against corpus poisoning, uses dense retrievers (vector stores), details injection attacks, but lacks agent focus and multi‑size LLM benchmarks.","Retrieval-Augmented Generation (RAG) has emerged as a promising paradigm to enhance large language models (LLMs) with external knowledge, reducing hallucinations and compensating for outdated information. However, recent studies have exposed a critical vulnerability in RAG pipelines corpus poisoning where adversaries inject malicious documents into the retrieval corpus to manipulate model outputs. In this work, we propose two complementary retrieval-stage defenses: RAGPart and RAGMask. Our defenses operate directly on the retriever, making them computationally lightweight and requiring no modification to the generation model. RAGPart leverages the inherent training dynamics of dense retrievers, exploiting document partitioning to mitigate the effect of poisoned points. In contrast, RAGMask identifies suspicious tokens based on significant similarity shifts under targeted token masking. Across two benchmarks, four poisoning strategies, and four state-of-the-art retrievers, our defenses consistently reduce attack success rates while preserving utility under benign conditions. We further introduce an interpretable attack to stress-test our defenses. Our findings highlight the potential and limitations of retrieval-stage defenses, providing practical insights for robust RAG deployments. "
"ControlNET: A Firewall for RAG-based LLM System","https://scispace.com/paper/controlnet-a-firewall-for-rag-based-llm-system-nkk9bhzku5n6","2025","Journal Article","arXiv.org","Hongwei Yao
Haoran Shi
Yidou Chen
Yixin Jiang
Cong Wang
Zhan Qin","10.48550/arxiv.2504.09593","https://scispace.compdf/controlnet-a-firewall-for-rag-based-llm-system-nkk9bhzku5n6.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector DB in RAG pipeline; describes malicious document injection; proposes ControlNET firewall as defense; focuses on knowledge poisoning rather than agent memory; limited agent-specific discussion; likely includes some real‑store experiments but no size‑based benchmarking.",""
"Pandora: Jailbreak GPTs by Retrieval Augmented Generation Poisoning","https://scispace.com/paper/pandora-jailbreak-gpts-by-retrieval-augmented-generation-274ecgis2v","2024","Journal Article","arXiv.org","Gelei Deng
Yi Liu
Kailong Wang
Yuekang Li
Tianwei Zhang
Yang Liu","10.48550/arxiv.2402.08416","https://scispace.compdf/pandora-jailbreak-gpts-by-retrieval-augmented-generation-274ecgis2v.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses RAG poisoning to inject malicious entries into vector stores and proposes mitigations; focuses on GPT jailbreaks rather than internal memory, includes some experiments on real stores, but lacks extensive agent scenarios and multi‑size LLM benchmarking.","Large Language Models~(LLMs) have gained immense popularity and are being increasingly applied in various domains. Consequently, ensuring the security of these models is of paramount importance. Jailbreak attacks, which manipulate LLMs to generate malicious content, are recognized as a significant vulnerability. While existing research has predominantly focused on direct jailbreak attacks on LLMs, there has been limited exploration of indirect methods. The integration of various plugins into LLMs, notably Retrieval Augmented Generation~(RAG), which enables LLMs to incorporate external knowledge bases into their response generation such as GPTs, introduces new avenues for indirect jailbreak attacks. To fill this gap, we investigate indirect jailbreak attacks on LLMs, particularly GPTs, introducing a novel attack vector named Retrieval Augmented Generation Poisoning. This method, Pandora, exploits the synergy between LLMs and RAG through prompt manipulation to generate unexpected responses. Pandora uses maliciously crafted content to influence the RAG process, effectively initiating jailbreak attacks. Our preliminary tests show that Pandora successfully conducts jailbreak attacks in four different scenarios, achieving higher success rates than direct attacks, with 64.3\% for GPT-3.5 and 34.8\% for GPT-4."
"Trustworthiness in Retrieval-Augmented Generation Systems: A Survey","https://scispace.com/paper/trustworthiness-in-retrieval-augmented-generation-systems-a-45o6vibq2nnu","2024","Journal Article","","Yujia Zhou
Yan Liu
Xiaoxi Li
J. S. Jin
Hongjin Qian
Zheng Liu
Chaozhuo Li
Zhicheng Dou
Tsung-Yi Ho
Philip S. Yu","10.48550/arxiv.2409.10102","https://scispace.compdf/trustworthiness-in-retrieval-augmented-generation-systems-a-45o6vibq2nnu.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Survey details memory‑poisoning and injection attacks on vector stores, explains RAG pipelines, mentions defenses and agent use, but lacks original experiments or size‑based benchmarks.","Retrieval-Augmented Generation (RAG) has quickly grown into a pivotal paradigm in the development of Large Language Models (LLMs). While much of the current research in this field focuses on performance optimization, particularly in terms of accuracy and efficiency, the trustworthiness of RAG systems remains an area still under exploration. From a positive perspective, RAG systems are promising to enhance LLMs by providing them with useful and up-to-date knowledge from vast external databases, thereby mitigating the long-standing problem of hallucination. While from a negative perspective, RAG systems are at the risk of generating undesirable contents if the retrieved information is either inappropriate or poorly utilized. To address these concerns, we propose a unified framework that assesses the trustworthiness of RAG systems across six key dimensions: factuality, robustness, fairness, transparency, accountability, and privacy. Within this framework, we thoroughly review the existing literature on each dimension. Additionally, we create the evaluation benchmark regarding the six dimensions and conduct comprehensive evaluations for a variety of proprietary and open-source models. Finally, we identify the potential challenges for future research based on our investigation results. Through this work, we aim to lay a structured foundation for future investigations and provide practical insights for enhancing the trustworthiness of RAG systems in real-world applications. "
"Towards secure retrieval-augmented generation: A comprehensive review of threats, defenses and benchmarks","https://scispace.com/paper/X5usUSKQ9HMJ","","","","Y Mu
H Hu
F Li
Q Yuan
J Wu
Z Liu
P Liu","","https://arxiv.org/pdf/2603.21654","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Reviews memory poisoning and injection threats in RAG, details vector store role, outlines defenses, mentions agent usage, but lacks original experiments or size‑based benchmarks.",""
"AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","https://scispace.com/paper/agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-6c2tdgde00ja","2024","Journal Article","arXiv.org","Zhaorun Chen
Zhen Xiang
Chaowei Xiao
Dawn Song
Bo Li","10.48550/arxiv.2407.12784","https://scispace.compdf/agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-6c2tdgde00ja.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses memory poisoning to inject malicious key‑value pairs into a RAG vector store for autonomous agents; demonstrates attack success but offers little defense or multi‑size benchmarking.","LLM agents have demonstrated remarkable performance across various applications, primarily due to their advanced capabilities in reasoning, utilizing external knowledge and tools, calling APIs, and executing actions to interact with environments. Current agents typically utilize a memory module or a retrieval-augmented generation (RAG) mechanism, retrieving past knowledge and instances with similar embeddings from knowledge bases to inform task planning and execution. However, the reliance on unverified knowledge bases raises significant concerns about their safety and trustworthiness. To uncover such vulnerabilities, we propose a novel red teaming approach AgentPoison, the first backdoor attack targeting generic and RAG-based LLM agents by poisoning their long-term memory or RAG knowledge base. In particular, we form the trigger generation process as a constrained optimization to optimize backdoor triggers by mapping the triggered instances to a unique embedding space, so as to ensure that whenever a user instruction contains the optimized backdoor trigger, the malicious demonstrations are retrieved from the poisoned memory or knowledge base with high probability. In the meantime, benign instructions without the trigger will still maintain normal performance. Unlike conventional backdoor attacks, AgentPoison requires no additional model training or fine-tuning, and the optimized backdoor trigger exhibits superior transferability, in-context coherence, and stealthiness. Extensive experiments demonstrate AgentPoison's effectiveness in attacking three types of real-world LLM agents: RAG-based autonomous driving agent, knowledge-intensive QA agent, and healthcare EHRAgent. On each agent, AgentPoison achieves an average attack success rate higher than 80% with minimal impact on benign performance (less than 1%) with a poison rate less than 0.1%."
"Benchmarking Poisoning Attacks against Retrieval-Augmented Generation","https://scispace.com/paper/benchmarking-poisoning-attacks-against-retrieval-augmented-92v10qb8xour","2025","Journal Article","","Bo Zhang
Hongbo Xin
Jiatong Li
Dongzhe Zhang
Minghong Fang
Zhuqing Liu
L. S. Nie
Zheli Liu","10.48550/arxiv.2505.18543","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses extensive poisoning benchmark on RAG pipelines, evaluates many attacks and defenses, includes RAG‑based LLM agents, but lacks real vector‑store experiments and size‑scale analysis.","Retrieval-Augmented Generation (RAG) has proven effective in mitigating hallucinations in large language models by incorporating external knowledge during inference. However, this integration introduces new security vulnerabilities, particularly to poisoning attacks. Although prior work has explored various poisoning strategies, a thorough assessment of their practical threat to RAG systems remains missing. To address this gap, we propose the first comprehensive benchmark framework for evaluating poisoning attacks on RAG. Our benchmark covers 5 standard question answering (QA) datasets and 10 expanded variants, along with 13 poisoning attack methods and 7 defense mechanisms, representing a broad spectrum of existing techniques. Using this benchmark, we conduct a comprehensive evaluation of all included attacks and defenses across the full dataset spectrum. Our findings show that while existing attacks perform well on standard QA datasets, their effectiveness drops significantly on the expanded versions. Moreover, our results demonstrate that various advanced RAG architectures, such as sequential, branching, conditional, and loop RAG, as well as multi-turn conversational RAG, multimodal RAG systems, and RAG-based LLM agent systems, remain susceptible to poisoning attacks. Notably, current defense techniques fail to provide robust protection, underscoring the pressing need for more resilient and generalizable defense strategies. "
"Semantic Chameleon: Corpus-Dependent Poisoning Attacks and Defenses in RAG Systems","https://scispace.com/paper/semantic-chameleon-corpus-dependent-poisoning-attacks-and-udfqwq2qwkd2","2025","Repository","","Scott Thornton","10.5281/zenodo.18080200","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses gradient‑guided dual‑document poisoning to attack vector‑based retrieval, evaluates hybrid BM25+vector defenses, and measures detection methods; does not target autonomous agents or compare multiple LLM scales.","Retrieval-Augmented Generation (RAG) systems enhance Large Language Models (LLMs) by incorporating external knowledge bases, but this architectural design introduces additional poisoning surfaces. We provide a systematic empirical study of how corpus composition and retrieval architecture jointly affect the effectiveness of RAG poisoning attacks and the defense capability. Using a gradient-guided dual-document ""sleeper-trigger"" poisoning attack, we evaluate two contrasting knowledge bases—Security Stack Exchange (67,941 technical documents) and a FEVER Wikipedia subset (96,561 general knowledge articles). We observe a security tension: in our cross-corpus sample (n=9 per corpus), the technical corpus enables 66.7% attack stealth success yet shows 13–62× worse detection performance using standard retrieval-based detection than the general corpus. Large-scale retrieval-level evaluation (n=50 attacks) on Security Stack Exchange shows that dual-document poisoning achieves a 38.0% co-retrieval success rate under pure vector retrieval systems (95% CI: 25.9%–51.8%). However, a simple hybrid BM25+vector retriever eliminates co-retrieval of poisoned sleeper/trigger pairs in all tested configurations (α=0.3–0.7) in our experiments, without modifying the underlying LLM. We further compare five detection methods and find that query pattern differential analysis consistently provides the best retrieval-level detection performance, achieving F1 scores of 0.632 on FEVER and 0.171 on Security Stack Exchange under optimistic thresholding. We validate experimental rigor through embedding model ablation, adaptive attack testing (0% success across 25 configurations), and holdout validation (generalization gap <0.01). We extend validation with end-to-end LLM evaluation showing 60% attack success rate (9/15 scenarios) with 80% safety bypass rate when poisoned context is retrieved, and a production RAG case study (156,777 documents) demonstrating that attacks fail completely (0%) when targeting different corpora but succeed reliably (100%) when corpus-adapted. These results highlight that corpus-aware and retrieval-aware design choices are critical for secure RAG deployment: for security-sensitive applications, we recommend hybrid retrieval with α≤0.5 (equal or greater BM25 weighting) as a practical default, augmented with corpus-appropriate monitoring. "
"CPA-RAG:Covert Poisoning Attacks on Retrieval-Augmented Generation in
  Large Language Models","https://scispace.com/paper/cpa-rag-covert-poisoning-attacks-on-retrieval-augmented-2l00vrut9r8e","2025","Journal Article","","Chunyang Li
Junwei Zhang
Anda Cheng
Zhuo Ma
Xinghua Li
Jianfeng Ma","10.48550/arxiv.2505.19864","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses black‑box generation to craft query‑relevant adversarial texts that poison vector‑store retrieval; evaluates attacks on real RAG systems and multiple LLMs, but lacks agent‑centric focus and novel defenses.","Retrieval-Augmented Generation (RAG) enhances large language models (LLMs) by incorporating external knowledge, but its openness introduces vulnerabilities that can be exploited by poisoning attacks. Existing poisoning methods for RAG systems have limitations, such as poor generalization and lack of fluency in adversarial texts. In this paper, we propose CPA-RAG, a black-box adversarial framework that generates query-relevant texts capable of manipulating the retrieval process to induce target answers. The proposed method integrates prompt-based text generation, cross-guided optimization through multiple LLMs, and retriever-based scoring to construct high-quality adversarial samples. We conduct extensive experiments across multiple datasets and LLMs to evaluate its effectiveness. Results show that the framework achieves over 90\% attack success when the top-k retrieval setting is 5, matching white-box performance, and maintains a consistent advantage of approximately 5 percentage points across different top-k values. It also outperforms existing black-box baselines by 14.5 percentage points under various defense strategies. Furthermore, our method successfully compromises a commercial RAG system deployed on Alibaba's BaiLian platform, demonstrating its practical threat in real-world applications. These findings underscore the need for more robust and secure RAG frameworks to defend against poisoning attacks. "
"Adversarial Threats to AI-Augmented Security Operations: A Systematic Survey","https://scispace.com/paper/B9D372b8OPoJ","","","","KR YEDUGURU","","https://assets-eu.researchsquare.com/files/rs-9602180/v1/dd226be9-6bf7-4b24-a3fa-d4137832d034.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Survey details memory poisoning, RAG pipelines, and injection attacks, but only reviews defenses and lacks original experiments or size‑based benchmarks.",""
"HijackRAG: Hijacking Attacks against Retrieval-Augmented Large Language
  Models","https://scispace.com/paper/hijackrag-hijacking-attacks-against-retrieval-augmented-7ms5fhsz8mkz","2024","Journal Article","","Yucheng Zhang
Qinfeng Li
Tianyu Du
Xuhong Zhang
Xinkui Zhao
Z. Y. Feng
Jianwei Yin","10.48550/arxiv.2410.22832","https://scispace.compdf/hijackrag-hijacking-attacks-against-retrieval-augmented-7ms5fhsz8mkz.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows HijackRAG attacks by injecting malicious texts into vector stores, evaluates defenses, but focuses on RAG systems rather than autonomous agents and lacks multi‑size LLM benchmarks.","Retrieval-Augmented Generation (RAG) systems enhance large language models (LLMs) by integrating external knowledge, making them adaptable and cost-effective for various applications. However, the growing reliance on these systems also introduces potential security risks. In this work, we reveal a novel vulnerability, the retrieval prompt hijack attack (HijackRAG), which enables attackers to manipulate the retrieval mechanisms of RAG systems by injecting malicious texts into the knowledge database. When the RAG system encounters target questions, it generates the attacker's pre-determined answers instead of the correct ones, undermining the integrity and trustworthiness of the system. We formalize HijackRAG as an optimization problem and propose both black-box and white-box attack strategies tailored to different levels of the attacker's knowledge. Extensive experiments on multiple benchmark datasets show that HijackRAG consistently achieves high attack success rates, outperforming existing baseline attacks. Furthermore, we demonstrate that the attack is transferable across different retriever models, underscoring the widespread risk it poses to RAG systems. Lastly, our exploration of various defense mechanisms reveals that they are insufficient to counter HijackRAG, emphasizing the urgent need for more robust security measures to protect RAG systems in real-world deployments. "
